provider,fund_name,fund_type,fee_pct,return_1yr,return_5yr
GOALSGETTER KIWISAVER SCHEME,GOALSGETTER AMOVA HIGH GROWTH FUND,Aggressive,1.45,,
GOALSGETTER KIWISAVER SCHEME,GOALSGETTER AMOVA NZ CASH FUND,Defensive,0.5,2.34,2.64
GOALSGETTER KIWISAVER SCHEME,GOALSGETTER AMOVA NZ CORPORATE BOND FUND,Defensive,0.8,2.54,1.6
GOALSGETTER KIWISAVER SCHEME,GOALSGETTER AMOVA SRI EQUITY FUND,Aggressive,1.25,2.94,0.83
GOALSGETTER KIWISAVER SCHEME,GOALSGETTER GENERATE BALANCED FUND,Balanced,1.59,3.68,
GOALSGETTER KIWISAVER SCHEME,GOALSGETTER GENERATE FOCUSED GROWTH FUND,Aggressive,1.61,5.85,
GOALSGETTER KIWISAVER SCHEME,GOALSGETTER GENERATE THEMATIC FUND,Aggressive,1.55,6.49,
GOALSGETTER KIWISAVER SCHEME,GOALSGETTER HARBOUR BALANCED GROWTH FUND,Growth,1.34,6.72,
GOALSGETTER KIWISAVER SCHEME,GOALSGETTER HARBOUR SUSTAINABLE IMPACT FUND,Balanced,1.6,-2.38,
GOALSGETTER KIWISAVER SCHEME,GOALSGETTER MILFORD ACTIVE GROWTH FUND,Growth,1.35,6.07,
GOALSGETTER KIWISAVER SCHEME,GOALSGETTER MILFORD AGGRESSIVE FUND,Aggressive,1.45,,
GOALSGETTER KIWISAVER SCHEME,GOALSGETTER MILFORD BALANCED FUND,Balanced,1.35,3.13,
GOALSGETTER KIWISAVER SCHEME,GOALSGETTER MILFORD CONSERVATIVE FUND,Conservative,1.15,1.03,
GOALSGETTER KIWISAVER SCHEME,GOALSGETTER PATHFINDER ETHICAL GROWTH FUND,Growth,1.61,6.65,
GOALSGETTER KIWISAVER SCHEME,GOALSGETTER SALT CAPITAL GROWTH FUND,Growth,1.4,-0.38,
CHRISTIAN KIWISAVER SCHEME,GROWTH FUND,Growth,1.5,7.56,6.88
SUPEREASY KIWISAVER SUPERANNUATION SCHEME,GROWTH FUND,Growth,0.5,8.91,4.83
WESTPAC KIWISAVER SCHEME,GROWTH FUND,Growth,0.55,10.67,4.91
FISHER FUNDS TWO KIWISAVER SCHEME,GROWTH FUND,Growth,1.06,2.05,4.16
JMI WEALTH KIWISAVER SCHEME,GROWTH FUND,Growth,1.41,7.12,4.97
GENERATE KIWISAVER SCHEME,GROWTH FUND,Growth,1.37,7.18,5.52
ANZ KIWISAVER SCHEME,GROWTH FUND,Growth,0.96,9.61,4.46
ONEANSWER KIWISAVER SCHEME,GROWTH FUND,Growth,0.96,9.61,4.45
EVIDENTIAL KIWISAVER SCHEME,GROWTH FUND,Growth,0.75,,
ASB KIWISAVER SCHEME,GROWTH FUND,Growth,0.7,11.16,6.18
BOOSTER KIWISAVER SCHEME,GROWTH FUND,Growth,1.35,7.75,4.64
FISHER FUNDS KIWISAVER SCHEME,GROWTH FUND,Growth,1.05,1.95,3.49
NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,GROWTH FUND,Growth,0.88,9.96,5.07
ANZ DEFAULT KIWISAVER SCHEME,GROWTH FUND,Growth,0.96,9.61,4.45
MAS KIWISAVER SCHEME,GROWTH FUND,Growth,0.98,10.51,5.46
SIMPLICITY KIWISAVER SCHEME,GROWTH FUND,Growth,0.25,10.06,6.01
MARITIME KIWISAVER SCHEME,GROWTH PORTFOLIO,Balanced,0.76,6.03,
KOURA KIWISAVER SCHEME,GROWTH STRATEGY,Growth,1.12,11.87,
NZ FUNDS KIWISAVER SCHEME,GROWTH STRATEGY,Aggressive,2.11,7.81,-0.85
FISHER FUNDS KIWISAVER PLAN,GlidePath Age 40,Growth,1.21,2.45,
FISHER FUNDS KIWISAVER PLAN,GlidePath Age 75,Conservative,0.84,3.3,
FISHER FUNDS KIWISAVER PLAN,Growth Fund,Growth,1.13,2.82,4.27
WESTPAC KIWISAVER SCHEME,HIGH GROWTH FUND,Aggressive,0.7,13.11,
EVIDENTIAL KIWISAVER SCHEME,HIGH GROWTH FUND,Aggressive,0.8,,
ANZ KIWISAVER SCHEME,HIGH GROWTH FUND,Aggressive,0.95,11.09,
ONEANSWER KIWISAVER SCHEME,HIGH GROWTH FUND,Aggressive,0.95,11.09,
BOOSTER KIWISAVER SCHEME,HIGH GROWTH FUND,Aggressive,1.41,9.39,5.71
NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,HIGH GROWTH FUND,Aggressive,0.94,12.11,6.08
ANZ DEFAULT KIWISAVER SCHEME,HIGH GROWTH FUND,Aggressive,0.95,11.08,
SIMPLICITY KIWISAVER SCHEME,HIGH GROWTH FUND,Aggressive,0.25,11.74,
CHRISTIAN KIWISAVER SCHEME,INCOME FUND,Defensive,0.8,1.84,0.95
NZ FUNDS KIWISAVER SCHEME,INCOME STRATEGY,Defensive,1.22,1.26,0.89
NZ FUNDS KIWISAVER SCHEME,INFLATION STRATEGY,Growth,1.52,7.49,-2.29
ONEANSWER KIWISAVER SCHEME,INTERNATIONAL FIXED INTEREST FUND,Defensive,0.49,0.99,-0.57
ONEANSWER KIWISAVER SCHEME,INTERNATIONAL PROPERTY FUND,Aggressive,0.99,6.86,3.11
ONEANSWER KIWISAVER SCHEME,INTERNATIONAL SHARE FUND,Aggressive,0.96,14.77,8.34
INVESTNOW KIWISAVER SCHEME,INVESTNOW ANTIPODES GLOBAL VALUE FUND,Aggressive,1.08,28.03,
INVESTNOW KIWISAVER SCHEME,INVESTNOW CASTLE POINT 5 OCEANS FUND,Balanced,1.18,9.09,3.85
INVESTNOW KIWISAVER SCHEME,INVESTNOW CASTLE POINT TRANS-TASMAN FUND,Aggressive,1.08,3.17,-0.91
INVESTNOW KIWISAVER SCHEME,INVESTNOW CLARITY GLOBAL SHARES FUND,Aggressive,1.07,20.86,13.56
INVESTNOW KIWISAVER SCHEME,INVESTNOW FISHER FUNDS CONSERVATIVE FUND,Conservative,0.93,2.69,
INVESTNOW KIWISAVER SCHEME,INVESTNOW FISHER FUNDS GROWTH FUND,Growth,1.02,1.16,
INVESTNOW KIWISAVER SCHEME,INVESTNOW FOUNDATION SERIES BALANCED FUND,Balanced,0.36,6.48,4.77
INVESTNOW KIWISAVER SCHEME,INVESTNOW FOUNDATION SERIES GLOBAL ESG FUND,Aggressive,0.1,,
INVESTNOW KIWISAVER SCHEME,INVESTNOW FOUNDATION SERIES GROWTH FUND,Growth,0.38,8.08,6.31
INVESTNOW KIWISAVER SCHEME,INVESTNOW FOUNDATION SERIES HEDGED TOTAL WORLD FUND,Aggressive,0.07,16.8,
INVESTNOW KIWISAVER SCHEME,INVESTNOW FOUNDATION SERIES HEDGED US 500 FUND,Aggressive,0.03,14.2,
INVESTNOW KIWISAVER SCHEME,INVESTNOW FOUNDATION SERIES HIGH GROWTH FUND,Aggressive,0.37,,
INVESTNOW KIWISAVER SCHEME,INVESTNOW FOUNDATION SERIES NASDAQ-100 FUND,Aggressive,0.15,,
INVESTNOW KIWISAVER SCHEME,INVESTNOW FOUNDATION SERIES TOTAL WORLD FUND,Aggressive,0.07,18.95,
INVESTNOW KIWISAVER SCHEME,INVESTNOW FOUNDATION SERIES US 500 FUND,Aggressive,0.03,15.2,
INVESTNOW KIWISAVER SCHEME,INVESTNOW FOUNDATION SERIES US DIVIDEND EQUITY FUND,Aggressive,0.06,,
INVESTNOW KIWISAVER SCHEME,INVESTNOW GENERATE FOCUSED GROWTH FUND,Aggressive,1.39,8.76,
INVESTNOW KIWISAVER SCHEME,INVESTNOW HARBOUR AUSTRALASIAN EQUITY FOCUS FUND,Aggressive,1.21,-11.1,-1.44
INVESTNOW KIWISAVER SCHEME,INVESTNOW HARBOUR BALANCED GROWTH FUND,Growth,1.04,10.84,
INVESTNOW KIWISAVER SCHEME,INVESTNOW HARBOUR NZ CORE FIXED INTEREST FUND,Defensive,0.66,2.9,1.12
INVESTNOW KIWISAVER SCHEME,INVESTNOW HARBOUR T. ROWE PRICE GLOBAL EQUITY FUND,Aggressive,1.21,9.99,5.66
INVESTNOW KIWISAVER SCHEME,INVESTNOW HUNTER GLOBAL FIXED INTEREST FUND,Defensive,0.54,1.17,0.02
INVESTNOW KIWISAVER SCHEME,INVESTNOW MACQUARIE NZ CASH FUND,Defensive,0.3,2.17,2.5
INVESTNOW KIWISAVER SCHEME,INVESTNOW MACQUARIE NZ FIXED INTEREST FUND,Defensive,0.61,2.56,0.7
