id,name,provider,type,fee,return_1yr,return_5yr,risk_band,risk_lo,risk_hi,horizon_lo,horizon_hi,ethical,has_history,history_since
142,Glidepath Age 65,Fisher Funds Two KiwiSaver Scheme,Conservative,0.89,2.7,2.16,2–3,2,3,1,4,False,True,2016
143,Glidepath Age 75,Fisher Funds Two KiwiSaver Scheme,Conservative,0.86,2.73,2.02,2–3,2,3,1,4,False,True,2016
144,Glidepath Age 75,Fisher Funds KiwiSaver Scheme,Conservative,0.94,2.76,2.13,2–3,2,3,1,4,False,True,2017
145,Global Aggregate Bond Fund,Superlife KiwiSaver Scheme,Defensive,0.69,1.03,-1.53,1–2,1,2,0,3,False,True,2020
146,Global Equities Fund,MAS KiwiSaver Scheme,Aggressive,0.98,12.57,6.66,5–7,5,7,10,40,False,True,2021
147,Global Fund,Generate KiwiSaver Scheme,Aggressive,1.3,,,5–7,5,7,10,40,False,False,
148,Global Property Fund,Superlife KiwiSaver Scheme,Aggressive,0.68,5.26,-0.07,5–7,5,7,10,40,False,True,2019
149,Global Select Balanced Growth Fund,AMP KiwiSaver Scheme,Growth,1.18,11.15,4.67,4–5,4,5,6,12,False,False,
150,Global Select Conservative Fund,AMP KiwiSaver Scheme,Conservative,1.08,4.88,1.95,2–3,2,3,1,4,False,False,
151,Global Select Growth Fund,AMP KiwiSaver Scheme,Growth,1.27,12.99,5.49,4–5,4,5,6,12,False,False,
152,Goalsgetter Amova Ark Disruptive Innovation Fund,Goalsgetter KiwiSaver Scheme,Aggressive,1.55,19.68,-7.83,5–7,5,7,10,40,False,False,
153,Goalsgetter Amova Balanced Fund,Goalsgetter KiwiSaver Scheme,Balanced,1.24,3.21,2.06,3–4,3,4,4,9,False,False,
154,Goalsgetter Amova Conservative Fund,Goalsgetter KiwiSaver Scheme,Conservative,1.0,2.53,1.59,2–3,2,3,1,4,False,False,
155,Goalsgetter Amova Global Shares Fund,Goalsgetter KiwiSaver Scheme,Aggressive,1.45,-4.76,6.69,5–7,5,7,10,40,False,False,
156,Goalsgetter Amova Growth Fund,Goalsgetter KiwiSaver Scheme,Growth,1.39,3.19,2.42,4–5,4,5,6,12,False,False,
157,Goalsgetter Amova High Growth Fund,Goalsgetter KiwiSaver Scheme,Aggressive,1.45,,,5–7,5,7,10,40,False,False,
158,Goalsgetter Amova NZ Cash Fund,Goalsgetter KiwiSaver Scheme,Defensive,0.5,2.34,2.64,1–2,1,2,0,3,False,False,
159,Goalsgetter Amova NZ Corporate Bond Fund,Goalsgetter KiwiSaver Scheme,Defensive,0.8,2.54,1.6,1–2,1,2,0,3,False,False,
160,Goalsgetter Amova SRI Equity Fund,Goalsgetter KiwiSaver Scheme,Aggressive,1.25,2.94,0.83,5–7,5,7,10,40,True,False,
161,Goalsgetter Generate Balanced Fund,Goalsgetter KiwiSaver Scheme,Balanced,1.59,3.68,,3–4,3,4,4,9,False,False,
162,Goalsgetter Generate Focused Growth Fund,Goalsgetter KiwiSaver Scheme,Aggressive,1.61,5.85,,5–7,5,7,10,40,False,False,
163,Goalsgetter Generate Thematic Fund,Goalsgetter KiwiSaver Scheme,Aggressive,1.55,6.49,,5–7,5,7,10,40,False,False,
164,Goalsgetter Harbour Balanced Growth Fund,Goalsgetter KiwiSaver Scheme,Growth,1.34,6.72,,4–5,4,5,6,12,False,False,
165,Goalsgetter Harbour Sustainable Impact Fund,Goalsgetter KiwiSaver Scheme,Balanced,1.6,-2.38,,3–4,3,4,4,9,True,False,
