source,period,fund_name,scheme,fum,members,start_date,risk_indicator,return_1yr,return_5yr_avg,fee
milford,2023-03-31,Balanced,,1051114054.0,18368,2010-04-01,4,,6.46,
milford,2024-03-31,Balanced,,1399384417.0,22487,2010-04-01,4,,7.29,
milford,2026-03-31,Balanced,,2329487827.0,33149,2010-04-01,4,,4.88,
milford,2025-03-31,Balanced,,1774072124.0,27021,2010-04-01,4,,8.49,
milford,2023-09-30,Balanced,,1173047300.0,20598,2010-04-01,4,,5.38,
milford,2024-09-30,Balanced,,1596084823.0,25006,2010-04-01,4,,6.26,
milford,2025-09-30,Balanced,,2163320603.0,30183,2010-04-01,4,,7.22,
milford,2023-12-31,Cash,,125216758.0,2292,2020-03-27,1,,,
milford,2024-12-31,Cash,,123109728.0,2385,2020-03-27,1,,,
milford,2025-12-31,Cash,,163004924.0,2965,2020-03-27,1,,2.47,
milford,2023-06-30,Cash,,118456033.0,2171,2020-03-27,1,,,
milford,2024-06-30,Cash,,126695593.0,2370,2020-03-27,1,,,
milford,2025-06-30,Cash,,159964276.0,2938,2020-03-27,1,,2.28,
milford,2023-03-31,Cash,,119919079.0,2109,2020-03-27,1,,,
milford,2024-03-31,Cash,,119845913.0,2260,2020-03-27,1,,,
milford,2026-03-31,Cash,,209624226.0,3610,2020-03-27,1,,2.55,
milford,2025-03-31,Cash,,152373314.0,2692,2020-03-27,1,,2.16,
milford,2023-09-30,Cash,,119129132.0,2173,2020-03-27,1,,,
milford,2024-09-30,Cash,,132451488.0,2450,2020-03-27,1,,,
milford,2025-09-30,Cash,,147837558.0,2803,2020-03-27,1,,2.39,
milford,2023-12-31,Conservative,,230745523.0,5887,2012-10-01,3,,3.07,
milford,2024-12-31,Conservative,,278495548.0,6564,2012-10-01,3,,2.95,
milford,2025-12-31,Conservative,,411251789.0,8403,2012-10-01,3,,2.88,
milford,2023-06-30,Conservative,,212863533.0,5538,2012-10-01,3,,2.55,
milford,2024-06-30,Conservative,,243861602.0,6195,2012-10-01,3,,2.58,
milford,2025-06-30,Conservative,,358618004.0,7879,2012-10-01,3,,3.44,
milford,2023-03-31,Conservative,,209450211.0,5445,2012-10-01,3,,2.63,
milford,2024-03-31,Conservative,,236548428.0,5967,2012-10-01,3,,2.97,
milford,2026-03-31,Conservative,,455445880.0,9299,2012-10-01,3,,2.57,
milford,2025-03-31,Conservative,,322073340.0,7251,2012-10-01,3,,3.88,
milford,2023-09-30,Conservative,,217243597.0,5687,2012-10-01,3,,2.24,
milford,2024-09-30,Conservative,,270906575.0,6465,2012-10-01,3,,2.85,
milford,2025-09-30,Conservative,,378361982.0,7977,2012-10-01,3,,3.38,
milford,2023-12-31,Moderate,,149247502.0,3958,2020-03-27,4,,,
milford,2024-12-31,Moderate,,202066436.0,4881,2020-03-27,4,,,
milford,2025-12-31,Moderate,,296317950.0,6458,2020-03-27,3,,4.29,
milford,2023-06-30,Moderate,,128583138.0,3515,2020-03-27,4,,,
milford,2024-06-30,Moderate,,169804283.0,4444,2020-03-27,4,,,
milford,2025-06-30,Moderate,,238559157.0,5670,2020-03-27,3,,5.15,
milford,2023-03-31,Moderate,,120353956.0,3328,2020-03-27,4,,,
milford,2024-03-31,Moderate,,161483695.0,4140,2020-03-27,4,,,
milford,2026-03-31,Moderate,,307705068.0,6964,2020-03-27,3,,3.63,
milford,2023-09-30,Moderate,,136250531.0,3741,2020-03-27,4,,,
milford,2024-09-30,Moderate,,189431259.0,4731,2020-03-27,4,,,
milford,2025-09-30,Moderate,,267000315.0,6004,2020-03-27,3,,5.14,
milford,2024-06-30,Active Growth,,5376684745.0,70813,2010-04-01,5,,8.48,
fisher,2025-12-31,aggressive,,163218112.0,4823,2025-03-26,4,,,1.23
fisher,2025-06-30,aggressive,,48919952.0,1504,2025-03-26,5,,,1.24
fisher,2025-03-31,aggressive,,11684191.0,336,2025-03-26,5,,,1.24
fisher,2026-03-31,aggressive,,178771395.0,6655,2025-03-26,4,,,1.23
fisher,2025-09-30,aggressive,,114799786.0,3166,2025-03-26,5,,,1.23
fisher,2023-12-31,balanced,,2275002797.0,69906,2007-10-01,,,,1.04
fisher,2024-12-31,balanced,,2466362788.0,66987,2007-10-01,4,,,1.02
fisher,2025-12-31,balanced,,2523277429.0,65187,2007-10-01,4,,,1.04
fisher,2023-06-30,balanced,,2194888905.0,71153,2007-10-01,,,,1.04
fisher,2024-06-30,balanced,,2337833395.0,68470,2007-10-01,4,,,1.02
fisher,2025-06-30,balanced,,2440467907.0,65975,2007-10-01,4,,,1.04
fisher,2023-03-31,balanced,,2116507805.0,71552,2007-10-01,,,,1.04
fisher,2024-03-31,balanced,,2389408807.0,69167,2007-10-01,4,,,1.04
fisher,2025-03-31,balanced,,2403482187.0,66265,2007-10-01,4,,,1.02
fisher,2026-03-31,balanced,,2397199635.0,65245,2007-10-01,4,,,1.04
fisher,2023-09-30,balanced,,2205361538.0,70527,2007-10-01,,,,1.04
fisher,2024-09-30,balanced,,2421878267.0,67632,2007-10-01,4,,,1.02
fisher,2025-09-30,balanced,,2521997286.0,65400,2007-10-01,4,,,1.04
fisher,2023-12-31,cash,,399748781.0,22734,2012-09-12,,,,0.45
fisher,2024-12-31,cash,,409647547.0,21801,2012-09-12,1,,,0.47
fisher,2025-12-31,cash,,449501457.0,21634,2012-09-12,1,,,0.45
fisher,2023-06-30,cash,,380307098.0,22773,2012-09-12,,,,0.45
fisher,2024-06-30,cash,,399056933.0,22272,2012-09-12,1,,,0.47
fisher,2025-06-30,cash,,431741795.0,21857,2012-09-12,1,,,0.45
fisher,2023-03-31,cash,,383786957.0,22883,2012-09-12,,,,0.45
fisher,2024-03-31,cash,,398955579.0,22462,2012-09-12,2,,,0.45
fisher,2025-03-31,cash,,424974285.0,21744,2012-09-12,1,,,0.47
fisher,2026-03-31,cash,,463155252.0,21706,2012-09-12,1,,,0.45
fisher,2023-09-30,cash,,386855857.0,22678,2012-09-12,,,,0.45
fisher,2024-09-30,cash,,410698087.0,22043,2012-09-12,1,,,0.47
fisher,2025-09-30,cash,,437164777.0,21683,2012-09-12,1,,,0.45
fisher,2023-12-31,cashplus,,106390430.0,7624,2012-06-01,,,,0.70
fisher,2024-12-31,cashplus,,108854624.0,7057,2012-06-01,2,,,0.71
fisher,2025-12-31,cashplus,,108258593.0,6539,2012-06-01,2,,,0.68
fisher,2023-06-30,cashplus,,104527562.0,7905,2012-06-01,,,,0.70
fisher,2024-06-30,cashplus,,106542786.0,7328,2012-06-01,2,,,0.71
fisher,2025-06-30,cashplus,,107945518.0,6793,2012-06-01,2,,,0.68
fisher,2023-03-31,cashplus,,104919726.0,8054,2012-06-01,,,,0.70
fisher,2024-03-31,cashplus,,106869155.0,7463,2012-06-01,2,,,0.70
fisher,2025-03-31,cashplus,,108773256.0,6922,2012-06-01,2,,,0.71
fisher,2026-03-31,cashplus,,105827888.0,6405,2012-06-01,2,,,0.68
fisher,2023-09-30,cashplus,,105058695.0,7752,2012-06-01,,,,0.70
fisher,2024-09-30,cashplus,,109212522.0,7185,2012-06-01,2,,,0.71
fisher,2025-09-30,cashplus,,109081892.0,6666,2012-06-01,2,,,0.68
fisher,2023-12-31,conservative,,1039975304.0,47012,2007-10-01,,,,0.88
fisher,2024-12-31,conservative,,1077012611.0,44088,2007-10-01,4,,,0.88
fisher,2025-12-31,conservative,,1096751503.0,41639,2007-10-01,4,,,0.87
fisher,2023-06-30,conservative,,1000977790.0,48186,2007-10-01,,,,0.88
fisher,2024-06-30,conservative,,1038576387.0,45553,2007-10-01,4,,,0.88
fisher,2025-06-30,conservative,,1081234845.0,42902,2007-10-01,4,,,0.87
fisher,2023-03-31,conservative,,987470844.0,48676,2007-10-01,,,,0.88
fisher,2024-03-31,conservative,,1057045159.0,46309,2007-10-01,4,,,0.88
fisher,2025-03-31,conservative,,1078702705.0,43393,2007-10-01,4,,,0.88
fisher,2026-03-31,conservative,,1080435717.0,41158,2007-10-01,3,,,0.87
fisher,2023-09-30,conservative,,1005347957.0,47539,2007-10-01,,,,0.88
fisher,2024-09-30,conservative,,1082677063.0,44892,2007-10-01,4,,,0.88
fisher,2025-09-30,conservative,,1097403553.0,42211,2007-10-01,4,,,0.87
fisher,2023-12-31,default,,660467858.0,68567,2021-12-01,,,,0.37
fisher,2024-12-31,default,,824542974.0,70452,2021-12-01,4,,,0.36
fisher,2025-12-31,default,,1003570238.0,72624,2021-12-01,4,,,0.37
fisher,2023-06-30,default,,588348023.0,66715,2021-12-01,,,,0.37
fisher,2024-06-30,default,,722458481.0,70261,2021-12-01,4,,,0.36
fisher,2025-06-30,default,,867815973.0,71657,2021-12-01,4,,,0.37
fisher,2023-03-31,default,,545369750.0,64338,2021-12-01,,,,0.37
fisher,2024-03-31,default,,711675445.0,69201,2021-12-01,4,,,0.37
fisher,2025-03-31,default,,839693667.0,70488,2021-12-01,4,,,0.36
fisher,2026-03-31,default,,1005457121.0,72546,2021-12-01,4,,,0.37
fisher,2023-09-30,default,,615613710.0,67765,2021-12-01,,,,0.37
fisher,2024-09-30,default,,785450040.0,69847,2021-12-01,4,,,0.36
fisher,2025-09-30,default,,954971464.0,71565,2021-12-01,4,,,0.37
fisher,2023-12-31,growth,,2604417477.0,71512,2007-10-01,,,,1.13
fisher,2024-12-31,growth,,3043123703.0,72095,2007-10-01,5,,,1.09
fisher,2025-12-31,growth,,3033875020.0,69236,2007-10-01,4,,,1.13
fisher,2023-06-30,growth,,2439754030.0,70816,2007-10-01,,,,1.13
fisher,2024-06-30,growth,,2796912123.0,72112,2007-10-01,5,,,1.09
fisher,2025-06-30,growth,,2972065200.0,70621,2007-10-01,5,,,1.13
fisher,2023-03-31,growth,,2285026988.0,70206,2007-10-01,,,,1.13
fisher,2024-03-31,growth,,2830141511.0,71862,2007-10-01,5,,,1.13
fisher,2025-03-31,growth,,2908694332.0,71333,2007-10-01,5,,,1.09
fisher,2026-03-31,growth,,2796121606.0,68430,2007-10-01,4,,,1.13
fisher,2023-09-30,growth,,2492718772.0,71350,2007-10-01,,,,1.13
fisher,2024-09-30,growth,,2926406750.0,72178,2007-10-01,5,,,1.09
mercer,2024-12-31,Cash,,,1253,2007-10-01,,3.96,1.95,0.33
mercer,2024-12-31,Sustainable Conservative,,,23807,2007-10-01,,6.22,2.23,0.48
mercer,2024-12-31,Sustainable Plus Balanced,,,12928,2007-10-01,,10.84,4.6,0.76
mercer,2024-12-31,Sustainable Plus Growth,,,6361,2015-02-18,,13.82,5.98,0.85
mercer,2024-12-31,Sustainable Plus High Growth,,,8496,2007-10-01,,16.41,7.05,0.9
mercer,2024-12-31,Sustainable Plus Moderate,,,5358,2015-02-18,,8.1,3.39,0.66
mercer,2024-12-31,Sustainable Plus Shares,,,2315,2015-02-18,,19.33,7.39,0.96
mercer,2025-12-31,Cash,,,1207,2007-10-01,,2.47,2.37,0.32
mercer,2025-12-31,Responsible Balanced,,,12277,2007-10-01,,7.66,4.92,0.75
mercer,2025-12-31,Responsible Conservative,,,21812,2007-10-01,,4.54,2.3,0.49
mercer,2025-12-31,Responsible Growth,,,6126,2015-02-18,,8.83,6.4,0.84
