Fund Name,Provider,Risk Indicator,Periods,Avg Return %,Volatility (std),Return/Vol Ratio
RUSSELL LIFEPOINTS® TARGET DATE 2015 FUND,0.91,,3,4.55,3.82,1.19
RUSSELL LIFEPOINTS® CONSERVATIVE FUND,0.91,,3,4.56,3.81,1.2
BALANCED FUND,1.04,,7,6.1,3.8,1.61
ASSET CLASS CONSERVATIVE FUND,1.15,,7,1.86,3.78,0.49
AMP BALANCED FUND,0.99,,3,4.15,3.78,1.1
RUSSELL LIFEPOINTS® CONSERVATIVE FUND,0.88,,7,3.67,3.77,0.97
RUSSELL LIFEPOINTS® TARGET DATE 2015 FUND,0.88,,7,3.67,3.77,0.97
STEPPING STONES 46-55 AND STEPPING STONES GROWTH 56-60,1.00,,6,7.61,3.76,2.02
ASB MODERATE FUND,0.93,,11,3.33,3.72,0.9
NZ BONDS FUND,0.53,,6,0.31,3.7,0.08
MODERATE FUND,0.57,,10,5.96,3.67,1.62
RUSSELL LIFEPOINTS® MODERATE FUND,0.99,,4,3.97,3.63,1.09
CONSERVATIVE,0.86,,7,5.24,3.62,1.45
CONSERVATIVE FUND,0.85,,33,2.8,3.59,0.78
BNZ KIWISAVER MODERATE FUND,0.58,,3,3.22,3.49,0.92
AMP CAPITAL GLOBAL MULTI-ASSET FUND,1.43,,3,4.7,3.47,1.35
AMP INCOME GENERATOR FUND,0.98,,4,2.6,3.47,0.75
CONSERVATIVE BALANCED FUND,0.85,,51,4.98,3.46,1.44
UK CASH FUND,0.45,,9,2.34,3.45,0.68
QUAYSTREET FIXED INTEREST FUND,0.65,,5,0.67,3.37,0.2
STEPPING STONES GROWTH 61-64,1,,3,3.47,3.36,1.03
BNZ KIWISAVER MODERATE FUND,0.62,,4,6.54,3.35,1.95
CONSERVATIVE FUND,0.26,,7,3.58,3.3,1.08
NZ FIXED INTEREST,AMP WEALTH MANAGEMENT NEW ZEALAND LIMITED,3,3,-1.11,3.28,-0.34
SUMMER CONSERVATIVE SELECTION,0.66,,4,5.63,3.28,1.72
OVERSEAS NON-GOVERNMENT BONDS FUND,0.53,,6,1.18,3.25,0.36
GLIDEPATH AGE 75,0.87,,4,5.87,3.25,1.81
SUPERLIFE AGE STEPS - AGE 70,0.36,,4,2.97,3.22,0.92
MILFORD KIWISAVER BALANCED FUND,0.99,,2,7.16,3.19,2.24
NEW ZEALAND FIXED INTEREST FUND,0.55,,17,2.13,3.17,0.67
OVERSEAS BONDS FUND,0.58,,6,1.4,3.15,0.44
CONSERVATIVE FUND,1.00,,11,6.17,3.13,1.97
INVESTNOW AUSTRALASIAN PROPERTY INDEX FUND,0.36,,2,7.9,3.1,2.55
MODERATE FUND,0.59,,14,4.45,3.1,1.44
CONSERVATIVE FUND,0.61,,7,4.95,3.1,1.6
DEFAULT,0.58,,2,-2.73,3.1,-0.88
DEFAULT,0.65,,3,4.26,3.07,1.39
GLIDEPATH AGE 65,0.85,,9,5.6,3.06,1.83
NEW ZEALAND FIXED INTEREST FUND,0.63,,6,-1.37,3.04,-0.45
RUSSELL LIFEPOINTS® TARGET DATE 2025 FUND,0.99,,5,4.19,3.03,1.38
LIFESTAGES AUTO OPTION AGE 55 - 64,0.71,,5,2.63,3.02,0.87
LIFESTAGES AUTO OPTION AGE 65+,0.70,,3,1.55,3.02,0.51
AMP MODERATE BALANCED FUND,0.98,,3,3.97,3.01,1.32
SUPERLIFE INCOME FUND,0.55,,6,0.84,2.98,0.28
NIKKO AM BALANCED FUND,0.98,,3,5.08,2.96,1.72
INVESTNOW MILFORD CONSERVATIVE FUND,0.95,,3,-0.97,2.94,-0.33
STEPPING STONES GROWTH 65+,1,,3,2.95,2.93,1.01
STEPPING STONES 65+,1,,3,2.95,2.93,1.01
MILFORD KIWISAVER AGGRESSIVE FUND,1.11,,2,17.25,2.93,5.89
GLIDEPATH AGE 75,0.85,,2,3.6,2.93,1.23
MERCER MODERATE FUND,0.59,,17,4.55,2.92,1.56
JUNO CONSERVATIVE FUND,0.42,,4,5.46,2.92,1.87
GLIDEPATH AGE 55,0.89,,2,8.11,2.91,2.79
RUSSELL LIFEPOINTS® TARGET DATE 2045 FUND,0.81,,2,8.43,2.91,2.9
RUSSELL LIFEPOINTS® GROWTH FUND,0.81,,2,8.43,2.87,2.94
LIFESTAGES AUTO OPTION AGE 65+,0.62,,4,3.47,2.86,1.21
CONSERVATIVE FUND,0.52,,4,5.04,2.83,1.78
AMP GLOBAL MULTI-ASSET FUND,1.43,,4,2.04,2.82,0.72
QUAYSTREET SOCIALLY RESPONSIBLE INVESTMENT FUND,0.85,,3,11.43,2.8,4.08
ASSET CLASS CONSERVATIVE FUND,1.03,,4,2.0,2.79,0.72
AMP CONSERVATIVE FUND,0.88,,7,2.45,2.77,0.88
AMP CONSERVATIVE FUND (LIFESTEPS),0.88,,7,2.45,2.77,0.88
FISHER BALANCED FUND,1.03,,3,5.92,2.72,2.18
INTERNATIONAL FIXED INTEREST FUND,0.75,,17,1.91,2.7,0.71
ANZ BALANCED GROWTH FUND,0.98,,2,5.01,2.69,1.86
SUPERLIFE AGE STEPS - AGE 80,0.55,,6,1.81,2.66,0.68
AMP CONSERVATIVE FUND,0.87,,9,3.7,2.65,1.4
LIFESTAGES CAPITAL STABLE PORTFOLIO,0.75,,14,3.28,2.65,1.24
AMP CONSERVATIVE FUND (LIFESTEPS),0.87,,9,3.7,2.65,1.4
BNZ KIWISAVER GROWTH FUND,1.04,,3,9.6,2.65,3.62
AMP DEFENSIVE CONSERVATIVE FUND,0.35,,2,0.29,2.64,0.11
TOTAL WORLD FUND,0.59,,2,5.4,2.64,2.05
INVESTNOW CASTLE POINT 5 OCEANS FUND,1.09,,2,5.56,2.62,2.12
CONSERVATIVE FUND,0.86,,4,5.09,2.61,1.95
AMP CAPITAL INCOME GENERATOR FUND,0.98,,3,5.61,2.6,2.16
QUAYSTREET CONSERVATIVE FUND,0.71,,2,-1.89,2.59,-0.73
SELECT CONSERVATIVE,AMP WEALTH MANAGEMENT NEW ZEALAND LIMITED,3,2,5.07,2.56,1.98
RUSSELL LIFEPOINTS® TARGET DATE 2035 FUND,0.76,,2,7.72,2.56,3.02
BALANCED FUND,0.88,,3,6.94,2.54,2.73
RUSSELL LIFEPOINTS® BALANCED FUND,0.74,,2,7.74,2.54,3.05
UK CASH FUND,0.48,,6,-1.23,2.52,-0.49
SUMMER CONSERVATIVE SELECTION,0.7,,3,0.46,2.47,0.19
QUAYSTREET INCOME FUND,0.63,,3,3.62,2.47,1.47
ANZ CONSERVATIVE FUND,0.98,,11,3.04,2.45,1.24
ANZ BALANCED FUND,0.67,,2,5.5,2.4,2.29
OVERSEAS NON-GOVERNMENT BONDS FUND,0.34,,5,3.9,2.37,1.65
FISHER BALANCED FUND,1.12,,2,7.77,2.37,3.28
AMP MODERATE FUND,0.93,,3,3.68,2.36,1.56
ANZ CONSERVATIVE FUND,0.97,,7,3.42,2.35,1.46
SUPERLIFE 30,0.36,,4,2.77,2.33,1.19
DEFENSIVE CONSERVATIVE FUND,0.3,,3,0.78,2.32,0.34
SELECT INCOME,AMP WEALTH MANAGEMENT NEW ZEALAND LIMITED,3,2,-2.15,2.31,-0.93
